id,index,period,timestamp,minute,second,possession,duration,related_events,location,under_pressure,counterpress,type.id,type.name,possession_team.id,possession_team.name,play_pattern.id,play_pattern.name,team.id,team.name,tactics.formation,tactics.lineup,player.id,player.name,position.id,position.name,pass.length,pass.angle,pass.end_location,pass.backheel,pass.cross,pass.switch,pass.aerial_won,pass.deflected,pass.miscommunication,pass.assisted_shot_id,pass.goal_assist,pass.shot_assist,pass.recipient.id,pass.recipient.name,pass.height.id,pass.height.name,pass.body_part.id,pass.body_part.name,pass.type.id,pass.type.name,pass.outcome.id,pass.outcome.name,carry.end_location,foul_won.defensive,foul_won.penalty,foul_won.advantage,ball_receipt.outcome.id,ball_receipt.outcome.name,duel.type.id,duel.type.name,duel.outcome.id,duel.outcome.name,interception.outcome.id,interception.outcome.name,dribble.overrun,dribble.nutmeg,dribble.outcome.id,dribble.outcome.name,ball_recovery.recovery_failure,ball_recovery.offensive,shot.statsbomb_xg,shot.end_location,shot.freeze_frame,shot.key_pass_id,shot.redirect,shot.first_time,shot.one_on_one,shot.body_part.id,shot.body_part.name,shot.technique.id,shot.technique.name,shot.type.id,shot.type.name,shot.outcome.id,shot.outcome.name,goalkeeper.end_location,goalkeeper.type.id,goalkeeper.type.name,goalkeeper.position.id,goalkeeper.position.name,goalkeeper.outcome.id,goalkeeper.outcome.name,goalkeeper.body_part.id,goalkeeper.body_part.name,goalkeeper.technique.id,goalkeeper.technique.name,foul_committed.penalty,foul_committed.advantage,foul_committed.card.id,foul_committed.card.name,block.deflection,block.offensive,clearance.aerial_won,substitution.outcome.id,substitution.outcome.name,substitution.replacement.id,substitution.replacement.name,bad_behaviour.card.id,bad_behaviour.card.name,50_50.outcome.id,50_50.outcome.name,match_id,competition_id,season_id,x,y
7cd97519-7612-47a4-b9a8-59dcaf841b90,489,1,00:14:33.000,14,33,21,0.92,,,TRUE,NA,30,Pass,779,Argentina,4,From Throw In,779,Argentina,NA,,5741,Enzo Nicolás Pérez,13,Right Center Midfield,18.867962,-2.5829933,,NA,NA,NA,NA,NA,NA,NA,NA,NA,5506,Javier Alejandro Mascherano,1,Ground Pass,40,Right Foot,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7580,43,3,99,79
c865cd6c-a0ce-43ce-b117-606dcb933b93,490,1,00:14:33.920,14,33,21,NA,,,NA,NA,42,Ball Receipt*,779,Argentina,4,From Throw In,779,Argentina,NA,,5506,Javier Alejandro Mascherano,10,Center Defensive Midfield,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7580,43,3,83,69
03323164-3491-46fd-a0f4-adb855dc0f98,491,1,00:14:33.920,14,33,21,1.56,,,NA,NA,43,Carry,779,Argentina,4,From Throw In,779,Argentina,NA,,5506,Javier Alejandro Mascherano,10,Center Defensive Midfield,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7580,43,3,83,69
560650ba-3c16-4d43-97aa-f24aaebca96f,492,1,00:14:35.480,14,35,21,1.96,,,NA,NA,30,Pass,779,Argentina,4,From Throw In,779,Argentina,NA,,5506,Javier Alejandro Mascherano,10,Center Defensive Midfield,37.336308,-1.9264323,,NA,NA,NA,NA,NA,NA,NA,NA,NA,3602,Faustino Marcos Alberto Rojo,1,Ground Pass,40,Right Foot,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7580,43,3,80,68
a538cd35-5e51-4103-967c-c9a1ecb61982,493,1,00:14:37.440,14,37,21,NA,,,NA,NA,42,Ball Receipt*,779,Argentina,4,From Throw In,779,Argentina,NA,,3602,Faustino Marcos Alberto Rojo,5,Left Center Back,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7580,43,3,67,33
42cdd29e-8d0e-4d73-8572-78cb5cb1868c,494,1,00:14:37.440,14,37,21,1.76,,,NA,NA,43,Carry,779,Argentina,4,From Throw In,779,Argentina,NA,,3602,Faustino Marcos Alberto Rojo,5,Left Center Back,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7580,43,3,67,33
a491fb27-afd5-4847-8d41-5b03d81ee5a5,495,1,00:14:39.200,14,39,21,1.2,,,NA,NA,30,Pass,779,Argentina,4,From Throw In,779,Argentina,NA,,3602,Faustino Marcos Alberto Rojo,5,Left Center Back,30.016663,-1.047518,,NA,NA,NA,NA,NA,NA,NA,NA,NA,5507,Nicolás Alejandro Tagliafico,1,Ground Pass,38,Left Foot,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7580,43,3,67,29
0111c54e-b847-45ab-958a-2a75b1b70b0d,496,1,00:14:40.400,14,40,21,NA,,,NA,NA,42,Ball Receipt*,779,Argentina,4,From Throw In,779,Argentina,NA,,5507,Nicolás Alejandro Tagliafico,6,Left Back,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7580,43,3,82,3
e26e4d80-0d96-46ae-a07e-1f9c16d48e0a,497,1,00:14:40.400,14,40,21,1.2,,,TRUE,NA,43,Carry,779,Argentina,4,From Throw In,779,Argentina,NA,,5507,Nicolás Alejandro Tagliafico,6,Left Back,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7580,43,3,82,3
9fb1e4f0-519f-4a70-a884-a977fc66e8d6,498,1,00:14:40.720,14,40,21,0.64,,,NA,NA,17,Pressure,779,Argentina,4,From Throw In,771,France,NA,,3009,Kylian Mbappé Lottin,17,Right Wing,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7580,43,3,40,74
